21	3041
22	3042
23	3043
24	3044
25	3045
26	3046
27	3047
28	3048
29	3049
2A	304A
2B	304B
2C	304C
2D	304D
2E	304E
2F	304F
30	3050
31	3051
32	3052
33	3053
34	3054
35	3055
36	3056
37	3057
38	3058
39	3059
3A	305A
3B	305B
3C	305C
3D	305D
3E	305E
3F	305F
40	3060
41	3061
42	3062
43	3063
44	3064
45	3065
46	3066
47	3067
48	3068
49	3069
4A	306A
4B	306B
4C	306C
4D	306D
4E	306E
4F	306F
50	3070
51	3071
52	3072
53	3073
54	3074
55	3075
56	3076
57	3077
58	3078
59	3079
5A	307A
5B	307B
5C	307C
5D	307D
5E	307E
5F	307F
60	3080
61	3081
62	3082
63	3083
64	3084
65	3085
66	3086
67	3087
68	3088
69	3089
6A	308A
6B	308B
6C	308C
6D	308D
6E	308E
6F	308F
70	3090
71	3091
72	3092
73	3093
77	309D
78	309E
79	30FC
7A	3002
7B	300C
7C	300D
7D	3001
7E	30FB
