0x7A21	U+26CC	# 事故
0x7A22	U+26CD	# 故障車
0x7A23	U+2757	# 障害物
0x7A24	U+26CF	# 工事
0x7A25	U+26D0	# 凍結
0x7A26	U+26D1	# 作業
0x7A28	U+26D2	# 通行止め、閉鎖
0x7A29	U+26D5	# 片側交互運行
0x7A2A	U+26D3	# チェーン規制
0x7A2B	U+26D4	# 進入禁止
0x7A30	U+1F17F	# 駐車場（空、満）
0x7A31	U+1F18A	# 駐車場（閉）
0x7A34	U+26D6	# 対面通行１
0x7A35	U+26D7	# 対面通行２
0x7A36	U+26D8	# 車線規制１
0x7A37	U+26D9	# 車線規制２
0x7A38	U+26DA	# 徐行１
0x7A39	U+26DB	# 徐行２
0x7A3A	U+26DC	# 入り口閉鎖１
0x7A3B	U+26DD	# 入り口閉鎖２
0x7A3C	U+26DE	# 大型通行止め１
0x7A3D	U+26DF	# 大型通行止め２
0x7A3E	U+26E0	# 入り口制限１
0x7A3F	U+26E1	# 入り口制限２
0x7A40	U+2B55	# 速度制限基本
0x7A41	U+3248	# 10km/h
0x7A42	U+3249	# 20km/h
0x7A43	U+324A	# 30km/h
0x7A44	U+324B	# 40km/h
0x7A45	U+324C	# 50km/h
0x7A46	U+324D	# 60km/h
0x7A47	U+324E	# 70km/h
0x7A48	U+324E	# 80km/h
0x7A4D	U+2491	# 時間(10時)
0x7A4E	U+2492	# 時間(11時)
0x7A4F	U+2493	# 時間(12時)
0x7A50	U+1F14A	# HDTV
0x7A51	U+1F14C	# SDTV
0x7A52	U+1F13F	# プログレッシブ放送
0x7A53	U+1F146	# ワイド放送
0x7A54	U+1F14B	# マルチビューテレビ
0x7A55	U+1F210	# 手話通訳放送
0x7A56	U+1F211	# 字幕放送
0x7A57	U+1F212	# 双方向放送
0x7A58	U+1F213	# 番組連動データ放送
0x7A59	U+1F142	# ステレオ放送
0x7A5A	U+1F214	# 二カ国語放送
0x7A5B	U+1F215	# 音声多重放送
0x7A5C	U+1F216	# 音声解説
0x7A5D	U+1F14D	# サラウンドステレオ
0x7A5E	U+1F131	# 圧縮Bモードステレオ
0x7A5F	U+1F13D	# ニュース
0x7A60	U+25A0	# 背景　四角
0x7A61	U+25CF	# 背景　丸
0x7A62	U+1F217	# 天気予報
0x7A63	U+1F218	# 交通情報
0x7A64	U+1F219	# 劇映画
0x7A65	U+1F21A	# 無料放送
0x7A66	U+1F21B	# 有料放送
0x7A67	U+26BF	# パレンタルロック
0x7A68	U+1F21C	# 前編
0x7A69	U+1F21D	# 後編
0x7A6A	U+1F21E	# 再放送
0x7A6B	U+1F21F	# 新番組
0x7A6C	U+1F220	# 初回放送
0x7A6D	U+1F221	# 最終回
0x7A6E	U+1F222	# 生放送
0x7A6F	U+1F223	# 通販
0x7A70	U+1F224	# 声優・声の出演
0x7A71	U+1F225	# 吹き替え
0x7A72	U+1F14E	# ペーパービュー
0x7A73	U+3299	# マル秘
0x7A74	U+1F200	# ほか
0x7B21	U+26E3	# 官公庁
0x7B22	U+2B56	# 都道府県庁
0x7B23	U+2B57	# 市役所・区役所(東京)
0x7B24	U+2B58	# 町村役場・区役所(東京以外)
0x7B25	U+2B59	# 警察署
0x7B26	U+2613	# 派出所
0x7B27	U+328B	# 消防署
0x7B28	U+3012	# 郵便局
0x7B29	U+2BE8	# 病院、医院
0x7B2A	U+3246	# 学校
0x7B2B	U+3245	# 幼稚園
0x7B2C	U+26E9	# 神社
0x7B2D	U+0fD6	# 寺院
0x7B2E	U+26EA	# 協会
0x7B2F	U+26EB	# 城跡
0x7B30	U+26EC	# 史跡、名勝
0x7B31	U+2668	# 温泉
