7A21	26CC
7A22	26CD
7A23	2757
7A24	26CF
7A25	26D0
7A26	26D1
7A28	26D2
7A29	26D5
7A2A	26D3
7A2B	26D4
7A30	1F17F
7A31	1F18A
7A34	26D6
7A35	26D7
7A36	26D8
7A37	26D9
7A38	26DA
7A39	26DB
7A3A	26DC
7A3B	26DD
7A3C	26DE
7A3D	26DF
7A3E	26E0
7A3F	26E1
7A40	2B55
7A41	3248
7A42	3249
7A43	324A
7A44	324B
7A45	324C
7A46	324D
7A47	324E
7A48	324E
7A4D	2491
7A4E	2492
7A4F	2493
7A50	1F14A
7A51	1F14C
7A52	1F13F
7A53	1F146
7A54	1F14B
7A55	1F210
7A56	1F211
7A57	1F212
7A58	1F213
7A59	1F142
7A5A	1F214
7A5B	1F215
7A5C	1F216
7A5D	1F14D
7A5E	1F131
7A5F	1F13D
7A60	25A0
7A61	25CF
7A62	1F217
7A63	1F218
7A64	1F219
7A65	1F21A
7A66	1F21B
7A67	26BF
7A68	1F21C
7A69	1F21D
7A6A	1F21E
7A6B	1F21F
7A6C	1F220
7A6D	1F221
7A6E	1F222
7A6F	1F223
7A70	1F224
7A71	1F225
7A72	1F14E
7A73	3299
7A74	1F200
7B21	26E3
7B22	2B56
7B23	2B57
7B24	2B58
7B25	2B59
7B26	2613
7B27	328B
7B28	3012
7B29	2BE8
7B2A	3246
7B2B	3245
7B2C	26E9
7B2D	0fD6
7B2E	26EA
7B2F	26EB
7B30	26EC
7B31	2668
7B32	26ED
7B33	26EE
7B34	26EF
7B35	2693
7B36	2708
7B37	26F0
7B38	26F1
7B39	26F2
7B3A	26F3
7B3B	26F4
7B3C	26F5
7B3D	1F157
7B3E	24B9
7B3F	24C8
7B40	26F6
7B41	1F15F
7B42	1F18B
7B43	1F18D
7B44	1F18C
7B45	1F179
7B46	26F7
7B47	26F8
7B48	26F9
7B49	26FA
7B4A	1F17B
7B4B	260E
7B4C	26FB
7B4D	26FC
7B4E	26FD
7B4F	26FE
7B50	26FF
7B51	1F17C
7C21	27A1
7C22	2B05
7C23	2B06
7C24	2B07
7C25	2B2F
7C26	2B2E
7C27	5E74
7C28	6708
7C29	65E5
7C2A	5186
7C2B	33A1
7C2C	33A5
7C2D	339D
7C2E	33A0
7C2F	33A4
7C30	1F100
7C31	2488
7C32	2489
7C33	248A
7C34	248B
7C35	248C
7C36	248D
7C37	248E
7C38	248F
7C39	2490
7C3A	6C0F
7C3B	526F
7C3C	5143
7C3D	6545
7C3E	524D
7C3F	65B0
7C40	1F101
7C41	1F102
7C42	1F103
7C43	1F104
7C44	1F105
7C45	1F106
7C46	1F107
7C47	1F108
7C48	1F109
7C49	1F10A
7C4A	3233
7C4B	3236
7C4C	3232
7C4D	3231
7C4E	3239
7C4F	3244
7C50	25B6
7C51	25C0
7C52	3016
7C53	3017
7C54	27D0
7C55	00B2
7C56	00B3
7C57	1F12D
7C58	28	76	6E	29
7C59	28	6F	62	29
7C5A	28	63	62	29
7C5B	28	63	65
7C5C	6D	62	29
7C5D	28	68	70	29
7C5E	28	62	72	29
7C5F	28	70	29
7C60	28	73	29
7C61	28	6D	73	29
7C62	28	74	29
7C63	28	62	73	29
7C64	28	62	29
7C65	28	74	62	29
