21	FF61
22	FF62
23	FF63
24	FF64
25	FF65
26	FF66
27	FF67
28	FF68
29	FF69
2A	FF6A
2B	FF6B
2C	FF6C
2D	FF6D
2E	FF6E
2F	FF6F
30	FF70
31	FF71
32	FF72
33	FF73
34	FF74
35	FF75
36	FF76
37	FF77
38	FF78
39	FF79
3A	FF7A
3B	FF7B
3C	FF7C
3D	FF7D
3E	FF7E
3F	FF7F
40	FF80
41	FF81
42	FF82
43	FF83
44	FF84
45	FF85
46	FF86
47	FF87
48	FF88
49	FF89
4A	FF8A
4B	FF8B
4C	FF8C
4D	FF8D
4E	FF8E
4F	FF8F
50	FF90
51	FF91
52	FF92
53	FF93
54	FF94
55	FF95
56	FF96
57	FF97
58	FF98
59	FF99
5A	FF9A
5B	FF9B
5C	FF9C
5D	FF9D
5E	FF9E
5F	FF9F
