21	30A1
22	30A2
23	30A3
24	30A4
25	30A5
26	30A6
27	30A7
28	30A8
29	30A9
2A	30AA
2B	30AB
2C	30AC
2D	30AD
2E	30AE
2F	30AF
30	30B0
31	30B1
32	30B2
33	30B3
34	30B4
35	30B5
36	30B6
37	30B7
38	30B8
39	30B9
3A	30BA
3B	30BB
3C	30BC
3D	30BD
3E	30BE
3F	30BF
40	30C0
41	30C1
42	30C2
43	30C3
44	30C4
45	30C5
46	30C6
47	30C7
48	30C8
49	30C9
4A	30CA
4B	30CB
4C	30CC
4D	30CD
4E	30CE
4F	30CF
50	30D0
51	30D1
52	30D2
53	30D3
54	30D4
55	30D5
56	30D6
57	30D7
58	30D8
59	30D9
5A	30DA
5B	30DB
5C	30DC
5D	30DD
5E	30DE
5F	30DF
60	30E0
61	30E1
62	30E2
63	30E3
64	30E4
65	30E5
66	30E6
67	30E7
68	30E8
69	30E9
6A	30EA
6B	30EB
6C	30EC
6D	30ED
6E	30EE
6F	30EF
70	30F0
71	30F1
72	30F2
73	30F3
74	30F4
75	30F5
76	30F6
77	30FD
78	30FE
79	30FC
7A	3002
7B	300C
7C	300D
7D	3001
7E	30FB
