0x7A21	U+26CC
0x7A22	U+26CD
0x7A23	U+2757
0x7A24	U+26CF
0x7A25	U+26D0
0x7A26	U+26D1
0x7A28	U+26D2
0x7A29	U+26D5
0x7A2A	U+26D3
0x7A2B	U+26D4
0x7A30	U+1F17F
0x7A31	U+1F18A
0x7A34	U+26D6
0x7A35	U+26D7
0x7A36	U+26D8
0x7A37	U+26D9
0x7A38	U+26DA
0x7A39	U+26DB
0x7A3A	U+26DC
0x7A3B	U+26DD
0x7A3C	U+26DE
0x7A3D	U+26DF
0x7A3E	U+26E0
0x7A3F	U+26E1
0x7A40	U+2B55
0x7A41	U+3248
0x7A42	U+3249
0x7A43	U+324A
0x7A44	U+324B
0x7A45	U+324C
0x7A46	U+324D
0x7A47	U+324E
0x7A48	U+324E
0x7A4D	U+2491
0x7A4E	U+2492
0x7A4F	U+2493
0x7A50	U+1F14A
0x7A51	U+1F14C
0x7A52	U+1F13F
0x7A53	U+1F146
0x7A54	U+1F14B
0x7A55	U+1F210
0x7A56	U+1F211
0x7A57	U+1F212
0x7A58	U+1F213
0x7A59	U+1F142
0x7A5A	U+1F214
0x7A5B	U+1F215
0x7A5C	U+1F216
0x7A5D	U+1F14D
0x7A5E	U+1F131
0x7A5F	U+1F13D
0x7A60	U+25A0
0x7A61	U+25CF
0x7A62	U+1F217
0x7A63	U+1F218
0x7A64	U+1F219
0x7A65	U+1F21A
0x7A66	U+1F21B
0x7A67	U+26BF
0x7A68	U+1F21C
0x7A69	U+1F21D
0x7A6A	U+1F21E
0x7A6B	U+1F21F
0x7A6C	U+1F220
0x7A6D	U+1F221
0x7A6E	U+1F222
0x7A6F	U+1F223
0x7A70	U+1F224
0x7A71	U+1F225
0x7A72	U+1F14E
0x7A73	U+3299
0x7A74	U+1F200
0x7B21	U+26E3
0x7B22	U+2B56
0x7B23	U+2B57
0x7B24	U+2B58
0x7B25	U+2B59
0x7B26	U+2613
0x7B27	U+328B
0x7B28	U+3012
0x7B29	U+2BE8
0x7B2A	U+3246
0x7B2B	U+3245
0x7B2C	U+26E9
0x7B2D	U+0fD6
0x7B2E	U+26EA
0x7B2F	U+26EB
0x7B30	U+26EC
0x7B31	U+2668
0x7B32	U+26ED
0x7B33	U+26EE
0x7B34	U+26EF
0x7B35	U+2693
0x7B36	U+2708
0x7B37	U+26F0
0x7B38	U+26F1
0x7B39	U+26F2
0x7B3A	U+26F3
0x7B3B	U+26F4
0x7B3C	U+26F5
0x7B3D	U+1F157
0x7B3E	U+24B9
0x7B3F	U+24C8
0x7B40	U+26F6
0x7B41	U+1F15F
0x7B42	U+1F18B
0x7B43	U+1F18D
0x7B44	U+1F18C
0x7B45	U+1F179
0x7B46	U+26F7
0x7B47	U+26F8
0x7B48	U+26F9
0x7B49	U+26FA
0x7B4A	U+1F17B
0x7B4B	U+260E
0x7B4C	U+26FB
0x7B4D	U+26FC
0x7B4E	U+26FD
0x7B4F	U+26FE
0x7B50	U+26FF
0x7B51	U+1F17C
0x7C21	U+27A1
0x7C22	U+2B05
0x7C23	U+2B06
0x7C24	U+2B07
0x7C25	U+2B2F
0x7C26	U+2B2E
0x7C27	U+5E74
0x7C28	U+6708
0x7C29	U+65E5
0x7C2A	U+5186
0x7C2B	U+33A1
0x7C2C	U+33A5
0x7C2D	U+339D
0x7C2E	U+33A0
0x7C2F	U+33A4
0x7C30	U+1F100
0x7C31	U+2488
0x7C32	U+2489
0x7C33	U+248A
0x7C34	U+248B
0x7C35	U+248C
0x7C36	U+248D
0x7C37	U+248E
0x7C38	U+248F
0x7C39	U+2490
0x7C3A	U+6C0F
0x7C3B	U+526F
0x7C3C	U+5143
0x7C3D	U+6545
0x7C3E	U+524D
0x7C3F	U+65B0
0x7C40	U+1F101
0x7C41	U+1F102
0x7C42	U+1F103
0x7C43	U+1F104
0x7C44	U+1F105
0x7C45	U+1F106
0x7C46	U+1F107
0x7C47	U+1F108
0x7C48	U+1F109
0x7C49	U+1F10A
0x7C4A	U+3233
0x7C4B	U+3236
0x7C4C	U+3232
0x7C4D	U+3231
0x7C4E	U+3239
0x7C4F	U+3244
0x7C50	U+25B6
0x7C51	U+25C0
0x7C52	U+3016
0x7C53	U+3017
0x7C54	U+27D0
0x7C55	U+00B2
0x7C56	U+00B3
0x7C57	U+1F12D
0x7C58	U+28	U+76	U+6E	U+29
0x7C59	U+28	U+6F	U+62	U+29
0x7C5A	U+28	U+63	U+62	U+29
0x7C5B	U+28	U+63	U+65
0x7C5C	U+6D	U+62	U+29
0x7C5D	U+28	U+68	U+70	U+29
0x7C5E	U+28	U+62	U+72	U+29
0x7C5F	U+28	U+70	U+29
0x7C60	U+28	U+73	U+29
0x7C61	U+28	U+6D	U+73	U+29
0x7C62	U+28	U+74	U+29
0x7C63	U+28	U+62	U+73	U+29
0x7C64	U+28	U+62	U+29
0x7C65	U+28	U+74	U+62	U+29
0x7C66	U+28	U+74	U+70	U+29
0x7C67	U+28	U+64	U+73	U+29
0x7C68	U+28	U+61	U+67	U+29
0x7C69	U+28	U+65	U+67	U+29
0x7C6A	U+28	U+76	U+6F	U+29
0x7C6B	U+28	U+66	U+6C	U+29
0x7C6C	U+28	U+6B	U+65
0x7C6D	U+79	U+29
0x7C6E	U+28	U+73	U+61
0x7C6F	U+78	U+29
0x7C70	U+28	U+73	U+79
0x7C71	U+6E	U+29
0x7C72	U+28	U+6F	U+72
0x7C73	U+67	U+29
0x7C74	U+28	U+70	U+65
0x7C75	U+72	U+29
0x7C76	U+1F12C
0x7C77	U+1F12B
0x7C78	U+3247
0x7C79	U+1F190
0x7C7A	U+1F226
0x7C7B	U+213B
0x7D21	U+322A
0x7D22	U+322B
0x7D23	U+322C
0x7D24	U+322D
0x7D25	U+322E
0x7D26	U+322F
0x7D27	U+3230
0x7D28	U+3237
0x7D29	U+337E
0x7D2A	U+337D
0x7D2B	U+337C
0x7D2C	U+337B
0x7D2D	U+2116
0x7D2E	U+2121
0x7D2F	U+3036
0x7D30	U+26BE
0x7D31	U+1F240
0x7D32	U+1F241
0x7D33	U+1F242
0x7D34	U+1F243
0x7D35	U+1F244
0x7D36	U+1F245
0x7D37	U+1F246
0x7D38	U+1F247
0x7D39	U+1F248
0x7D3A	U+1F12A
0x7D3B	U+1F227
0x7D3C	U+1F228
0x7D3D	U+1F229
0x7D3E	U+1F214
0x7D3F	U+1F22A
0x7D40	U+1F22B
0x7D41	U+1F22C
0x7D42	U+1F22D
0x7D43	U+1F22E
0x7D44	U+1F22F
0x7D45	U+1F230
0x7D46	U+1F231
0x7D47	U+2113
0x7D48	U+338F
0x7D49	U+3390
0x7D4A	U+33CA
0x7D4B	U+339E
0x7D4C	U+33A2
0x7D4D	U+3371
0x7D50	U+00BD
0x7D51	U+2189
0x7D52	U+2153
0x7D53	U+2154
0x7D54	U+00BC
0x7D55	U+00BE
0x7D56	U+2155
0x7D57	U+2156
0x7D58	U+2157
0x7D59	U+2158
0x7D5A	U+2159
0x7D5B	U+215A
0x7D5C	U+2150
0x7D5D	U+215B
0x7D5E	U+2151
0x7D5F	U+2152
0x7D60	U+2600
0x7D61	U+2601
0x7D62	U+2602
0x7D63	U+26C4
0x7D64	U+2616
0x7D65	U+2617
0x7D66	U+26C9
0x7D67	U+26CA
0x7D68	U+2666
0x7D69	U+2665
0x7D6A	U+2663
0x7D6B	U+2660
0x7D6C	U+26CB
0x7D6D	U+2A00
0x7D6E	U+203C
0x7D6F	U+2049
0x7D70	U+26C5
0x7D71	U+2614
0x7D72	U+26C6
0x7D73	U+2603
0x7D74	U+26C7
0x7D75	U+26A1
0x7D76	U+26C8
0x7D78	U+269E
0x7D79	U+269F
0x7D7A	U+266C
0x7D7B	U+260E
0x7E21	U+2160
0x7E22	U+2161
0x7E23	U+2162
0x7E24	U+2163
0x7E25	U+2164
0x7E26	U+2165
0x7E27	U+2166
0x7E28	U+2167
0x7E29	U+2168
0x7E2A	U+2169
