2121	20089
2122	4E02
2123	4E0F
2124	4E12
2125	4E29
2126	4E2B
2127	4E2E
2128	4E40
2129	4E47
212A	4E48
212B	200A2
212C	4E51
212D	3406
212E	200A4
212F	4E5A
2130	4E69
2131	4E9D
2132	342C
2133	342E
2134	4EB9
2135	4EBB
2136	201A2
2137	4EBC
2138	4EC3
2139	4EC8
213A	4ED0
213B	4EEB
213C	4EDA
213D	4EF1
213E	4EF5
213F	4F00
2140	4F16
2141	4F64
2142	4F37
2143	4F3E
2144	4F54
2145	4F58
2146	20213
2147	4F77
2148	4F78
2149	4F7A
214A	4F7D
214B	4F82
214C	4F85
214D	4F92
214E	4F9A
214F	4FE6
2150	4FB2
2151	4FBE
2152	4FC5
2153	4FCB
2154	4FCF
2155	4FD2
2156	346A
2157	4FF2
2158	5000
2159	5010
215A	5013
215B	501C
215C	501E
215D	5022
215E	3468
215F	5042
2160	5046
2161	504E
2162	5053
2163	5057
2164	5063
2165	5066
2166	506A
2167	5070
2168	50A3
2169	5088
216A	5092
216B	5093
216C	5095
216D	5096
216E	509C
216F	50AA
2170	2032B
2171	50B1
2172	50BA
2173	50BB
2174	50C4
2175	50C7
2176	50F3
2177	20381
2178	50CE
2179	20371
217A	50D4
217B	50D9
217C	50E1
217D	50E9
217E	3492
2321	5108
2322	203F9
2323	5117
2324	511B
2325	2044A
2326	5160
2327	20509
2328	5173
2329	5183
232A	518B
232B	34BC
232C	5198
232D	51A3
232E	51AD
232F	34C7
2330	51BC
2331	205D6
2332	20628
2333	51F3
2334	51F4
2335	5202
2336	5212
2337	5216
2338	2074F
2339	5255
233A	525C
233B	526C
233C	5277
233D	5284
233E	5282
233F	20807
2340	5298
2341	2083A
2342	52A4
2343	52A6
2344	52AF
2345	52BA
2346	52BB
2347	52CA
2348	351F
2349	52D1
234A	208B9
234B	52F7
234C	530A
234D	530B
234E	5324
234F	5335
2350	533E
2351	5342
2352	2097C
2353	2099D
2354	5367
2355	536C
2356	537A
2357	53A4
2358	53B4
2359	20AD3
235A	53B7
235B	53C0
235C	20B1D
235D	355D
235E	355E
235F	53D5
2360	53DA
2361	3563
2362	53F4
2363	53F5
2364	5455
2365	5424
2366	5428
2367	356E
2368	5443
2369	5462
236A	5466
236B	546C
236C	548A
